"Aeropuerto ""General Tomas de Heres"". Ciudad Bolivar",8.122160912,-63.53695679,197,SA,VE,VE-F,,SVCB,CBL,
"Châteauroux-Déols ""Marcel Dassault"" Airport",46.86220169,1.730669975,529,EU,FR,FR-F,Châteauroux/Déols,LFLX,CHR,
"Foggia ""Gino Lisa"" Airport",41.43289948,15.53499985,265,EU,IT,IT-75,Foggia,LIBF,FOG,
"Harstad/Narvik Airport, Evenes",68.49130249,16.67810059,84,EU,NO,NO-18,Evenes,ENEV,EVE,
"Kirkenes Airport, Høybuktmoen",69.72579956,29.8913002,283,EU,NO,NO-20,Kirkenes,ENKR,KKN,
"Kristiansund Airport, Kvernberget",63.11180115,7.824520111,204,EU,NO,NO-15,Kvernberget,ENKB,KSU,
"Mo i Rana Airport, Røssvoll",66.36389923,14.30140018,229,EU,NO,NO-18,Mo i Rana,ENRA,MQN,
"Mosjøen Airport, Kjærstad",65.78399658,13.21490002,237,EU,NO,NO-18,,ENMS,MJF,
"Moss Airport, Rygge",59.37889862,10.78559971,174,EU,NO,NO-01,Rygge,ENRY,RYG,
"Paloich Airport, Heliport",10.52916667,32.50055556,1290,AF,SS,SS-23,Higleig,HSFA,HGI,
"Pattimura Airport, Ambon",-3.710259914,128.0890045,33,AS,ID,ID-MA,Ambon,WAPP,AMQ,
"RAAF Williams, Point Cook Base",-37.93220139,144.753006,14,OC,AU,AU-VIC,Point Cook,YMPC,,
"Rørvik Airport, Ryum",64.83830261,11.14610004,14,EU,NO,NO-17,Rørvik,ENRM,RVK,
"Sandefjord Airport, Torp",59.18669891,10.25860024,286,EU,NO,NO-07,Torp,ENTO,TRF,
"Sandnessjøen Airport, Stokka",65.95680237,12.46889973,56,EU,NO,NO-18,Alstahaug,ENST,SSJ,
"Svalbard Airport, Longyear",78.24610138,15.46560001,88,EU,NO,NO-21,Longyearbyen,ENSB,LYR,
"Szczecin-Goleniów ""Solidarność"" Airport",53.58470154,14.90219975,154,EU,PL,PL-ZP,Goleniow,EPSC,SZZ,
"Taranto-Grottaglie ""Marcello Arlotta"" Airport",40.51750183,17.40320015,215,EU,IT,IT-75,Grottaglie,LIBG,TAR,
"Vardø Airport, Svartnes",70.35540009,31.04490089,42,EU,NO,NO-20,Vardø,ENSS,VAW,
